线路,站点序列,站名,重复路线,经纬度
1号线,1,苹果园,,"116.411707,39.983603"
1号线,2,古城,,"116.197072, 39.913414"
1号线,3,八角游乐园,,"116.21939, 39.913076"
1号线,4,八宝山,,"116.242277, 39.913185"
1号线,5,玉泉路,,"116.25947, 39.913501"
1号线,6,五棵松,,"116.280423, 39.913833"
1号线,7,万寿路,,"116.30155, 39.91371"
1号线,8,公主坟,"1,10","116.316696, 39.913509"
1号线,9,军事博物馆,"1,9","116.330349, 39.913214"
1号线,10,木樨地,,"116.344097, 39.913125"
1号线,11,南礼士路,,"116.359221, 39.912979"
1号线,12,复兴门,"1,2","116.364381, 39.913014"
1号线,13,西单,"1,4","116.383402, 39.913357"
1号线,14,天安门西,,"116.39805, 39.913776"
1号线,15,天安门东,,"116.407851, 39.91408"
1号线,16,王府井,,"116.417796, 39.914398"
1号线,17,东单,"1,5","116.426004, 39.914476"
1号线,18,建国门,"1,2","116.44084, 39.914526"
1号线,19,永安里,,"116.457089, 39.914223"
1号线,20,国贸,"1,10","116.46667, 39.914138"
1号线,21,大望路,"1,14","116.482387, 39.91413"
1号线,22,四惠,"1,八通线","116.501945, 39.91486"
1号线,23,四惠东,"1,八通线","116.522347, 39.914943"
2号线,1,西直门,"2,4,13","116.362125, 39.946021"
2号线,2,积水潭,,"116.379185, 39.954765"
2号线,3,鼓楼大街,"2,8","116.399937, 39.955358"
2号线,4,安定门,,"116.414597, 39.955441"
2号线,5,雍和宫,"5,12","116.42325, 39.955573"
2号线,6,东直门,"2,13，机场线","116.440288, 39.947302"
2号线,7,东四十条,,"116.440638, 39.939841"
2号线,8,朝阳门,"2,6","116.441075, 39.930642"
2号线,9,建国门,"1,2","116.442313, 39.914513"
2号线,10,北京站,,"116.433608, 39.911127"
2号线,11,崇文门,"2,5","116.423881, 39.907367"
2号线,12,前门,,"116.404276, 39.906534"
2号线,13,和平门,,"116.390619, 39.906362"
2号线,14,宣武门,"2,4","116.380848, 39.905881"
2号线,15,长椿街,,"116.369911, 39.90534"
2号线,16,复兴门,"1,2","116.363143, 39.913029"
2号线,17,阜成门,,"116.362817, 39.929522"
2号线,18,车公庄,"2,6","116.362436, 39.938489"
4号线,1,安河桥北,,"116.276432,40.018657"
4号线,2,北宫门,,"116.28399,40.008678"
4号线,3,西苑,"4,16","116.298094,40.004726"
4号线,4,圆明园,,"116.315938,40.005466"
4号线,5,北京大学东门,,"116.322265,39.998006"
4号线,6,中关村,,"116.323066,39.989956"
4号线,7,海淀黄庄,"4,10","116.324348,39.981865"
4号线,8,人民大学,,"116.32809,39.97277"
4号线,9,魏公村,,"116.329874,39.963457"
4号线,10,国家图书馆,"4,9","116.331897,39.948864"
4号线,11,动物园,,"116.345204,39.943923"
4号线,12,西直门,"2,4,13","116.362125, 39.946021"
4号线,13,新街口,,"116.374132,39.94658"
4号线,14,平安里,"4,6","116.378635,39.939264"
4号线,15,西四,,"116.378635,39.939264"
4号线,16,灵境胡同,,"116.380223,39.922136"
4号线,17,西单,"1,4","116.383402, 39.913357"
4号线,18,宣武门,"2,4","116.380848, 39.905881"
4号线,19,菜市口,"4,7","116.38074,39.895375"
4号线,20,陶然亭,,"116.380902,39.884625"
4号线,21,北京南站,"4,14","116.385169,39.870965"
4号线,22,马家堡,,"116.377878,39.859199"
4号线,23,角门西,"4,10","116.377644,39.851929"
4号线,24,公益西桥,4，大兴线,"116.377314,39.843056"
5号线,1,宋家庄,"5,10，亦庄线","116.434913,39.851941"
5号线,2,刘家窑,,"116.428565,39.863697"
5号线,3,蒲黄榆,"5,14","116.428894,39.871689"
5号线,4,天坛东门,,"116.427392,39.888497"
5号线,5,磁器口,"5,7","116.426035,39.899339"
5号线,6,崇文门,"2,5","116.423881, 39.907367"
5号线,7,东单,"1,5","116.426004, 39.914476"
5号线,8,灯市口,,"116.424169,39.923603"
5号线,9,东四,"5,6","116.423405,39.930647"
5号线,10,张自忠路,,"116.423579,39.939914"
5号线,11,北新桥,,"116.423298,39.947112"
5号线,12,雍和宫,"5,12","116.42325, 39.955573"
5号线,13,和平里北街,,"116.425051,39.964752"
5号线,14,和平西桥,,"116.424463,39.974502"
5号线,15,惠新西街南口,"5,10","116.42404,39.983276"
5号线,16,惠新西街北口,,"116.423532,39.994151"
5号线,17,大屯路东,"5,15","116.424567,40.009611"
5号线,18,北苑路北,,"116.424525,40.036821"
5号线,19,立水桥南,,"116.420973,40.048143"
5号线,20,立水桥,"5,13","116.418274,40.059244"
5号线,21,天通苑南,,"116.419113,40.072752"
5号线,22,天通苑,,"116.419233,40.081478"
5号线,23,天通苑北,,"116.419385,40.089597"
6号线,1,海淀五路居,,"116.282736,39.9386"
6号线,2,慈寿寺,"6,10","116.300677,39.93927"
6号线,3,花园桥,,"116.317559,39.938382"
6号线,4,白石桥南,"6,9","116.332038,39.938399"
6号线,5,车公庄西,,"116.350644,39.938074"
6号线,6,车公庄,"2,6","116.362436, 39.938489"
6号线,7,平安里,"4,6","116.378635,39.939264"
6号线,8,北海北,,"116.39289,39.939493"
6号线,9,南锣鼓巷,"6,8","116.409683,39.93984"
6号线,10,东四,"5,6","116.423405,39.930647"
6号线,11,朝阳门,"2,6","116.441075, 39.930642"
6号线,12,东大桥,,"116.458252,39.928625"
6号线,13,呼家楼,"6,10","116.468237,39.928981"
6号线,14,金台路,"6,14","116.484892,39.929069"
6号线,15,十里堡,,"116.508479,39.929238"
6号线,16,青年路,,"116.523829,39.929469"
6号线,17,褡裢坡,,"116.570223,39.929826"
6号线,18,黄渠,,"116.584917,39.929937"
6号线,19,常营,,"116.605447,39.93151"
6号线,20,草房,,"116.622546,39.930673"
6号线,21,物资学院路,,"116.645543,39.933087"
6号线,22,通州北关,,"116.668053,39.924687"
6号线,23,北运河西,,"116.694432,39.90893"
6号线,24,北运河东,,"116.71603,39.907657"
6号线,25,郝家府,,"116.724215,39.909286"
6号线,26,东夏园,,"116.740896,39.909493"
6号线,27,潞城,,"116.754799,39.90889"
7号线,1,北京西站,"7,9","116.327811,39.900677"
7号线,2,湾子,,"116.3344,39.895902"
7号线,3,达官营,,"116.342069,39.895671"
7号线,4,广安门内,,"116.364626,39.89543"
7号线,5,菜市口,"4,7","116.38074,39.895375"
7号线,6,虎坊桥,,"116.390654,39.895691"
7号线,7,珠市口,,"116.404574,39.89767"
7号线,8,桥湾,,"116.414901,39.899001"
7号线,9,磁器口,"5,7","116.426035,39.899339"
7号线,10,广渠门内,,"116.440943,39.899616"
7号线,11,广渠门外,,"116.455911,39.899309"
7号线,13,九龙山,"7,14","116.484689,39.899525"
7号线,14,大郊亭,,"116.494711,39.899072"
7号线,15,百子湾,,"116.50382,39.898935"
7号线,16,化工,,"116.510091,39.893222"
7号线,17,南楼梓庄,,"116.507808,39.88078"
7号线,18,欢乐谷景区,,"116.505927,39.872916"
7号线,19,双合,,"116.533265,39.866414"
7号线,20,焦化厂,,"116.543631,39.861686"
8号线,1,朱辛庄,"8,昌平线","116.32013,40.110334"
8号线,2,育知路,,"116.333898,40.09371"
8号线,3,平西府,,"116.357247,40.095792"
8号线,4,回龙观东大街,,"116.369753,40.086965"
8号线,5,霍营,"8,13","116.366721,40.077129"
8号线,6,育新,,"116.353997,40.066124"
8号线,7,西小口,,"116.358213,40.052716"
8号线,8,永泰庄,,"116.361159,40.043692"
8号线,9,林萃桥,,"116.378905,40.027995"
8号线,10,森林公园南门,,"116.399036,40.016211"
8号线,11,奥林匹克公园,"8,15","116.398711,40.007852"
8号线,12,奥体中心,,"116.400191,39.992442"
8号线,13,北土城,"8,10 ","116.400663,39.983255"
8号线,14,安华桥,,"116.400603,39.974878"
8号线,15,安德里北街,,"116.400884,39.963931"
8号线,16,鼓楼大街,"2,8","116.399937, 39.955358"
8号线,17,什刹海,,"116.402547,39.944154"
8号线,18,南锣鼓巷,"6,8","116.409683,39.93984"
9号线,1,郭公庄,"9,房山线","116.308567,39.820764"
9号线,2,丰台科技园,,"116.303639,39.831449"
9号线,3,科怡路,,"116.303808,39.838664"
9号线,4,丰台南路,,"116.302854,39.847201"
9号线,5,丰台东大街,,"116.300215,39.86144"
9号线,6,七里庄,"9,14","116.300553,39.873015"
9号线,7,六里桥,"9,10","116.30961,39.886428"
9号线,8,六里桥东,,"116.321463,39.89278"
9号线,9,北京西站,"7,9","116.327811,39.900677"
9号线,10,军事博物馆,"1,9","116.330349, 39.913214"
9号线,11,白堆子,,"116.332359,39.929707"
9号线,12,白石桥南,"6,9","116.332038,39.938399"
9号线,13,国家图书馆,"4,9","116.331897,39.948864"
10号线,1,巴沟,"10,西郊线","116.299578,39.980549"
10号线,2,苏州街,,"116.312768,39.981704"
10号线,3,海淀黄庄,"4,10","116.324348,39.981865"
10号线,4,知春里,,"116.336091,39.982061"
10号线,5,知春路,"10,13","116.347619,39.982065"
10号线,6,西土城,,"116.360484,39.982026"
10号线,7,牡丹园,,"116.376446,39.982371"
10号线,8,健德门,,"116.387816,39.982833"
10号线,9,北土城,"8,10 ","116.400663,39.983255"
10号线,10,安贞门,,"116.412371,39.983322"
10号线,11,惠新西街南口,"5,10","116.42404,39.983276"
10号线,12,芍药居,"10,13","116.443571,39.983549"
10号线,13,太阳宫,,"116.454059,39.978367"
10号线,14,三元桥,"10,机场线","116.463573,39.96688"
10号线,15,亮马桥,,"116.468743,39.955006"
10号线,16,农业展览馆,,"116.468772,39.946988"
10号线,17,团结湖,,"116.468337,39.939382"
10号线,18,呼家楼,"6,10","116.468237,39.928981"
10号线,19,金台夕照,,"116.468282,39.922961"
10号线,20,国贸,"1,10","116.46667, 39.914138"
10号线,21,双井,,"116.468453,39.899186"
10号线,22,劲松,,"116.46801,39.890027"
10号线,23,潘家园,,"116.467741,39.881735"
10号线,24,十里河,"10,14","116.465176,39.871712"
10号线,25,分钟寺,,"116.460348,39.857886"
10号线,26,成寿寺,,"116.454315,39.851457"
10号线,27,宋家庄,"5,10，亦庄线","116.434913,39.851941"
10号线,28,石榴庄,,"116.420566,39.852109"
10号线,29,大红门,,"116.406253,39.851841"
10号线,30,角门东,,"116.392751,39.851487"
10号线,31,角门西,"4,10","116.377644,39.851929"
10号线,32,草桥,,"116.359241,39.851597"
10号线,33,纪家庙,,"116.339533,39.850124"
10号线,34,首经贸,,"116.326613,39.85032"
10号线,35,丰台站,,"116.311475,39.856026"
10号线,36,泥洼,,"116.310813,39.8647"
10号线,37,西局,"10,14","116.309898,39.87224"
10号线,38,六里桥,"9,10","116.30961,39.886428"
10号线,39,莲花桥,,"116.316823,39.904081"
10号线,40,公主坟,"1,10","116.316696, 39.913509"
10号线,41,西钓鱼台,,"116.304186,39.929671"
10号线,42,慈寿寺,"6,10","116.300677,39.93927"
10号线,43,车道沟,,"116.300274,39.954895"
10号线,44,长春桥,,"116.300461,39.964876"
10号线,45,火器营,,"116.29561,39.972383"
13号线,1,西直门,"2,4,13","116.362125, 39.946021"
13号线,2,大钟寺,,"116.35182,39.972034"
13号线,3,知春路,"10,13","116.347619,39.982065"
13号线,4,五道口,,"116.344434,39.998568"
13号线,5,上地,,"116.326836,40.038699"
13号线,6,西二旗,"13,昌平线","116.312621,40.058918"
13号线,7,龙泽,,"116.326173,40.076647"
13号线,8,回龙观,,"116.34232,40.076426"
13号线,9,霍营,"8,13","116.366721,40.077129"
13号线,10,立水桥,"5,13","116.418274,40.059244"
13号线,11,北苑,,"116.441315,40.048872"
13号线,12,望京西,"13,15","116.455596,40.001109"
13号线,13,芍药居,"10,15","116.443571,39.983549"
13号线,14,光熙门,,"116.438355,39.974474"
13号线,15,柳芳,,"116.439265,39.964106"
13号线,16,东直门,"2,13，机场线","116.440288, 39.947302"
14号线,1,张郭庄,,"116.193406,39.864102"
14号线,2,园博园,,"116.208364,39.867099"
14号线,3,大瓦窑,,"116.246953,39.865215"
14号线,4,郭庄子,,"116.259835,39.870755"
14号线,5,大井,,"116.281826,39.871571"
14号线,6,七里庄,"9,14","116.300553,39.873015"
14号线,7,西局,"10,14","116.309898,39.87224"
14号线,8,善各庄,,"116.484762,40.03309"
14号线,9,陶然桥,,"116.397014,39.878534"
14号线,10,永定门外,,"116.405729,39.873727"
14号线,11,景泰,,"116.417164,39.871443"
14号线,12,方庄,,"116.446196,39.871749"
14号线,13,北工大西门,,"116.484017,39.880747"
14号线,14,平乐园,,"116.483967,39.890758"
14号线,15,北京南站,"4,14","116.385169,39.870965"
14号线,16,蒲黄榆,"5,14","116.428894,39.871689"
14号线,17,十里河,"10,14","116.465176,39.871712"
14号线,18,九龙山,"7,14","116.484689,39.899525"
14号线,19,大望路,"1,14","116.482387, 39.91413"
14号线,20,朝阳公园,,"116.484946,39.939443"
14号线,21,枣营,,"116.48155,39.950188"
14号线,22,东风北桥,,"116.492579,39.9645"
14号线,23,阜通,,"116.477642,39.997887"
14号线,24,望京,"14,15","116.475304,40.004532"
14号线,25,金台路,"6,14","116.484892,39.929069"
14号线,26,将台,,"116.496253,39.97696"
14号线,27,望京南,,"116.488454,39.990534"
14号线,28,东湖渠,,"116.474032,40.016228"
14号线,29,来广营,,"116.473489,40.026145"
15号线,1,俸伯,,"116.69145,40.138304"
15号线,2,顺义,,"116.663478,40.136138"
15号线,3,石门,,"116.647499,40.136314"
15号线,4,南法信,,"116.616411,40.134458"
15号线,5,后沙峪,,"116.570793,40.119865"
15号线,6,花梨坎,,"116.564223,40.090312"
15号线,7,国展,,"116.449021,39.96729"
15号线,8,孙河,,"116.54104,40.051264"
15号线,9,马泉营,,"116.509638,40.039847"
15号线,10,崔各庄,,"116.499145,40.028437"
15号线,11,望京东,,"116.4933,40.00927"
15号线,12,望京,"14,15","116.475304,40.004532"
15号线,13,望京西,"13,15","116.455596,40.001109"
15号线,14,关庄,,"116.437889,40.007136"
15号线,15,大屯路东,"5,15","116.424567,40.009611"
15号线,16,安立路,,"116.414285,40.008946"
15号线,17,奥林匹克公园,"8,15","116.398711,40.007852"
15号线,18,北沙滩,,"116.375561,40.007538"
15号线,19,六道口,,"116.359309,40.006718"
15号线,20,清华东路西口,,"116.345527,40.0063"
16号线,1,西苑,"4,16","116.298094,40.004726"
16号线,2,农大南路,,"116.288702,40.027823"
16号线,3,马连洼,,"116.279261,40.038769"
16号线,4,西北旺,,"116.264078,40.055297"
16号线,5,永丰南,,"116.254611,40.071669"
16号线,6,永丰,,"116.244766,40.077644"
16号线,7,屯佃,,"116.222442,40.074106"
16号线,8,稻香湖路,,"116.194753,40.074788"
16号线,9,温阳路,,"116.167825,40.074892"
16号线,10,北安河,,"116.136825,40.073863"
八通线,1,四惠,"1,八通线","116.501945, 39.91486"
八通线,2,四惠东,"1,八通线","116.522347, 39.914943"
八通线,3,高碑店,,"116.538,39.915798"
八通线,4,传媒大学,,"116.561375,39.915197"
八通线,5,双桥,,"116.583332,39.915885"
八通线,6,管庄,,"116.605782,39.914907"
八通线,7,八里桥,,"116.625141,39.912218"
八通线,8,通州北苑,,"116.64361,39.910064"
八通线,9,果园,,"116.653044,39.89966"
八通线,10,九棵树,,"116.663922,39.896462"
八通线,11,梨园,,"116.675218,39.889716"
八通线,12,临河里,,"116.685467,39.881239"
八通线,13,土桥,,"116.69298,39.877629"
昌平线,1,昌平西山口,,"116.202226,40.250294"
昌平线,2,十三陵景区,,"116.214346,40.245742"
昌平线,3,昌平,,"116.240088,40.226351"
昌平线,4,昌平东关,,"116.268533,40.227946"
昌平线,5,北邵洼,,"116.287975,40.228114"
昌平线,6,南邵,,"116.293505,40.21343"
昌平线,7,沙河高教园,,"116.286757,40.171012"
昌平线,8,沙河,,"116.295058,40.154693"
昌平线,9,巩华城,,"116.300434,40.137318"
昌平线,10,朱辛庄,"8,昌平线","116.32013,40.110334"
昌平线,11,生命科学园,,"116.30055,40.100975"
昌平线,12,西二旗,"13,昌平线","116.312621,40.058918"
亦庄线,1,宋家庄,"5,10，亦庄线","116.434913,39.851941"
亦庄线,2,肖村,,"116.455024,39.839926"
亦庄线,3,小红门,,"116.465808,39.83399"
亦庄线,4,旧宫,,"116.467432,39.812543"
亦庄线,5,亦庄桥,,"116.486851,39.808826"
亦庄线,6,亦庄文化园,,"116.49701,39.812839"
亦庄线,7,万源街,,"116.511928,39.809251"
亦庄线,8,荣京东街,,"116.519744,39.799616"
亦庄线,9,荣昌东街,,"116.528038,39.789194"
亦庄线,10,同济南路,,"116.546383,39.779147"
亦庄线,11,经海路,,"116.568912,39.789493"
亦庄线,12,次渠南,,"116.587934,39.800804"
亦庄线,13,次渠,,"116.597911,39.809191"
房山线,1,郭公庄,"9,房山线","116.308567,39.820764"
房山线,2,大葆台,,"116.298159,39.814112"
房山线,3,稻田,,"116.225429,39.800509"
房山线,4,长阳,,"116.219263,39.769411"
房山线,5,篱笆房,,"116.195928,39.766697"
房山线,6,广阳城,,"116.191395,39.754016"
房山线,7,良乡大学城北,,"116.189861,39.736109"
房山线,8,良乡大学城,,"116.182872,39.729499"
房山线,9,良乡大学城西,,"116.162684,39.7296"
房山线,10,良乡南关,,"116.147255,39.72947"
房山线,11,苏庄,,"116.131898,39.729197"
机场线,1,东直门,"2,13，机场线","116.440288, 39.947302"
机场线,2,三元桥,"10,机场线","116.463573,39.96688"
机场线,3,T3航站楼,,"116.621643,40.058887"
机场线,4,T2航站楼,,"116.599563,40.085493"
大兴线,1,公益西桥,4，大兴线,"116.377314,39.843056"
大兴线,2,新宫,,"116.372097,39.818302"
大兴线,3,西红门,,"116.335169,39.795445"
大兴线,4,高米店北,,"116.337331,39.779548"
大兴线,5,高米店南,,"116.33841,39.769059"
大兴线,6,枣园,,"116.338975,39.759079"
大兴线,7,清源路,,"116.339019,39.748354"
大兴线,8,黄村西大街,,"116.339128,39.73738"
大兴线,9,黄村火车站,,"116.339482,39.728326"
大兴线,10,义和庄,,"116.325538,39.718296"
大兴线,11,生物医药基地,,"116.328329,39.692307"
大兴线,12,天宫院,,"116.326437,39.676122"
S1线,1,石厂,,"116.106975,39.895137"
S1线,2,小园,,"116.121303,39.896146"
S1线,3,栗园庄,,"116.129827,39.901771"
S1线,4,上岸,,"116.128714,39.911139"
S1线,5,桥户营,,"116.132271,39.918355"
S1线,6,四道桥,,"116.140356,39.922119"
S1线,7,金安桥,,"116.169398,39.930086"
